Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,3.87,2.86,741,7.22,13.759,10.354,29.106,10.444,73.95,5.1
Bulgaria,2.93,1.53,349,2.53,19.095,7.673,20.235,31.668,37.14,22.5
Czechia,3.62,2.34,749,4.71,18.195,7.197,15.499,25.802,41.793,2.9
Denmark,2.71,2.26,772,17.74,41.601,10.241,77.22,50.11,42.834,5.1
Germany,3.1,2.42,706,10.65,20.796,9.941,47.637,17.485,68.678,6.6
Estonia,3.5,2.07,725,4.19,38.472,8.476,29.108,65.442,6.159,3.4
Ireland,2.8,2.33,608,26.77,13.107,5.512,36.776,6.302,79.155,7.2
Greece,2.01,1.55,405,8.32,22.678,4.081,42.408,30.614,79.559,18.7
Spain,2.37,1.7,311,9.26,22.116,9.676,50.902,20.04,74.347,17.1
France,3.02,2.03,623,10.31,20.259,9.031,27.323,26.321,51.796,10.7
Croatia,2.15,1.79,618,6.73,29.354,2.395,55.518,37.212,60.286,7
Italy,2.36,1.9,542,11.09,19.006,10.094,37.103,20.204,79.422,8.8
Cyprus,2.72,1.99,394,8.78,19.429,7.216,16.963,41.56,92.018,19.2
Latvia,2.29,2.11,638,5.55,43.316,3.134,53.305,60.987,38.747,7.1
Lithuania,2.23,1.9,582,5.87,29.599,6.677,26.461,51.54,72.434,17.5
Luxembourg,5.82,5.62,750,14.7,14.356,8.715,15.936,15.411,91.317,2.1
Hungary,2.48,1.9,661,5.39,15.19,7.763,15.342,20.348,64.183,4.7
Malta,1.68,1.32,229,4.3,13.404,10.467,10.126,37.98,99.009,7.6
Netherlands,3.17,2.45,577,9.85,14.972,10.811,39.916,8.589,80.234,5.3
Austria,3.34,2.91,856,10.63,33.758,10.139,74.67,30.579,74.454,2.7
Poland,2.67,1.97,587,5.28,16.873,5.793,21.009,22.727,46.079,4.9
Portugal,2,1.61,292,8.54,34.677,8.706,60.959,45.545,71.274,17.5
Romania,1.63,1.26,458,6.06,24.14,8.235,43.725,26.251,32.412,15.2
Slovenia,2.93,2.23,550,7.24,22.937,7.828,37.005,33.989,53.966,2.6
Slovakia,2.85,1.98,545,5.37,17.501,8.932,22.901,19.922,69.221,7.1
Finland,5.43,4.2,1076,6.4,47.886,18.829,47.925,58.547,40.915,1.4
Sweden,4.05,2.95,756,10.12,66.002,29.158,83.34,69.392,26.787,3.3
Iceland,15.89,8.38,1344,2.23,85.785,12.721,99.627,97.267,15.228,1
Norway,4.86,3.64,864,12.81,75.82,23.689,120.01,34.139,-616.598,2.1
